PLAYER_NAME,SEASON_ID,SALARY_REAL,GS,PLAYER_AGE,FG_PCT,FG3A,REB/MIN,AST/MIN,PTS/MIN
Adonal Foyle,2001,5353325.0,37.0,26.0,0.416,0.0,0.27720739219712526,0.03285420944558522,0.23408624229979466
Adonal Foyle,2002,6372510.0,36.0,27.0,0.444,0.0,0.25841184387617766,0.02759084791386272,0.2550471063257066
Adonal Foyle,2003,6305207.0,0.0,28.0,0.536,1.0,0.2742025741466144,0.020705092333519866,0.24622271964185785
Adonal Foyle,2004,6174778.0,8.0,29.0,0.454,0.0,0.2914485165794066,0.029668411867364748,0.23909249563699825
Adonal Foyle,2005,8833318.0,50.0,30.0,0.502,0.0,0.2523529411764706,0.03294117647058824,0.20705882352941177
Adonal Foyle,2006,9692239.0,72.0,31.0,0.507,0.0,0.23232876712328768,0.01808219178082192,0.18904109589041096
Adonal Foyle,2007,10323315.0,6.0,32.0,0.565,0.0,0.2647058823529412,0.03991596638655462,0.22478991596638656
Adonal Foyle,2008,12567516.0,0.0,33.0,0.458,0.0,0.26838709677419353,0.023225806451612905,0.20129032258064516
Adonal Foyle,2009,9498572.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0
Adonal Foyle,2009,9498572.0,0.0,34.0,0.636,0.0,0.4126984126984127,0.015873015873015872,0.2698412698412698
Adonis Jordan,1999,553551.0,0.0,28.0,0.5,2.0,0.0,0.15789473684210525,0.3157894736842105
Adreian Payne,2015,2006754.0,0.0,24.0,0.286,1.0,0.2,0.0,0.25
Adreian Payne,2015,2006754.0,22.0,24.0,0.414,9.0,0.21862348178137653,0.04048582995951417,0.2874493927125506
Adreian Payne,2016,2094499.0,2.0,25.0,0.366,32.0,0.22792607802874743,0.059548254620123205,0.27104722792607805
Adreian Payne,2017,2163022.0,0.0,26.0,0.426,15.0,0.2426470588235294,0.051470588235294115,0.4632352941176471
Adreian Payne,2018,81299.0,0.0,27.0,0.7,3.0,0.20454545454545456,0.0,0.4772727272727273
Adrian Caldwell,1991,545759.0,0.0,24.0,0.422,1.0,0.29069767441860467,0.023255813953488372,0.2238372093023256
Adrian Caldwell,1995,261280.0,0.0,28.0,0.25,0.0,0.3225806451612903,0.0,0.16129032258064516
Adrian Caldwell,1996,380356.0,1.0,29.0,0.554,0.0,0.3353658536585366,0.018292682926829267,0.3353658536585366
Adrian Caldwell,1998,470000.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
Adrian Dantley,1991,793832.0,0.0,36.0,0.38,3.0,0.10236220472440945,0.07086614173228346,0.44881889763779526
Adrian Griffin,2000,597183.0,47.0,25.0,0.424,57.0,0.19294605809128632,0.09180497925311204,0.25155601659751037
Adrian Griffin,2001,745428.0,0.0,26.0,0.34,26.0,0.23076923076923078,0.07161803713527852,0.246684350132626
Adrian Griffin,2002,819519.0,34.0,27.0,0.499,54.0,0.164985590778098,0.07636887608069164,0.2989913544668588
Adrian Griffin,2003,913445.0,48.0,28.0,0.433,24.0,0.1925601750547046,0.07658643326039387,0.23705324580598103
Adrian Griffin,2004,1054173.0,1.0,29.0,0.278,2.0,0.1417910447761194,0.07462686567164178,0.08208955223880597
Adrian Griffin,2005,1182368.0,1.0,30.0,0.36,9.0,0.21823617339312407,0.07922272047832586,0.2257100149476831
Adrian Griffin,2006,1018885.0,45.0,31.0,0.48,2.0,0.18218298555377208,0.07142857142857142,0.19020866773675763
Adrian Griffin,2007,1874078.0,1.0,32.0,0.473,6.0,0.18600682593856654,0.10068259385665529,0.23378839590443687
Adrian Griffin,2008,1971042.0,2.0,33.0,0.4,0.0,0.16591928251121077,0.09865470852017937,0.22869955156950672
Adrian Griffin,2008,1971042.0,2.0,33.0,0.395,0.0,0.19155844155844157,0.08766233766233766,0.21103896103896103
Al Harrington,1999,858796.0,0.0,19.0,0.321,5.0,0.2422360248447205,0.031055900621118012,0.2795031055900621
Al Harrington,2000,1156829.0,0.0,20.0,0.458,34.0,0.18596491228070175,0.044444444444444446,0.38362573099415204
Al Harrington,2001,1193103.0,38.0,21.0,0.444,7.0,0.20116156282998943,0.06863780359028511,0.3093980992608237
Al Harrington,2002,2081177.0,1.0,22.0,0.475,3.0,0.21068702290076335,0.04122137404580153,0.4396946564885496
Al Harrington,2003,7250988.0,37.0,23.0,0.434,46.0,0.2069663831510733,0.05062778452814905,0.40583232077764275
Al Harrington,2004,7988619.0,15.0,24.0,0.463,77.0,0.20811142974190905,0.05366653011061041,0.42933224088488325
Al Harrington,2005,8595498.0,66.0,25.0,0.459,74.0,0.1807843137254902,0.0815686274509804,0.4541176470588235
Al Harrington,2006,9221710.0,76.0,26.0,0.452,191.0,0.18792669780812074,0.0855192238591448,0.50700682716493
Al Harrington,2007,9688034.0,36.0,27.0,0.458,118.0,0.1869313482216708,0.04218362282878412,0.4731182795698925
Al Harrington,2007,9688034.0,78.0,27.0,0.457,293.0,0.1934477379095164,0.05811232449297972,0.501170046801872
Al Harrington,2008,10425149.0,59.0,28.0,0.434,408.0,0.20036513007759013,0.06024646280237335,0.5029666818804199
Al Harrington,2009,10869910.0,5.0,29.0,0.329,28.0,0.16766467065868262,0.059880239520958084,0.3712574850299401
Al Harrington,2009,10869910.0,56.0,29.0,0.439,470.0,0.17864153906556735,0.04004711425206125,0.5767569689831173
Al Harrington,2010,11984154.0,15.0,30.0,0.435,409.0,0.18442622950819673,0.05009107468123861,0.581056466302368
Al Harrington,2011,6818524.0,3.0,31.0,0.416,328.0,0.1992797118847539,0.06062424969987995,0.45918367346938777
Al Harrington,2012,7110940.0,1.0,32.0,0.446,303.0,0.2213393870601589,0.049943246311010214,0.5164585698070374
Al Harrington,2013,7512666.0,0.0,33.0,0.351,30.0,0.225,0.08333333333333333,0.425
Al Harrington,2014,9437424.0,0.0,34.0,0.396,100.0,0.15625,0.0546875,0.439453125
Al Horford,2008,4634733.0,77.0,22.0,0.499,5.0,0.3089334907516726,0.048799685163321525,0.32310114128295947
Al Horford,2009,4744082.0,67.0,23.0,0.525,1.0,0.27819884083816315,0.07267053053945609,0.3446277307177887
Al Horford,2010,5148505.0,81.0,24.0,0.551,1.0,0.28074490513000705,0.06640899508081517,0.4033731553056922
Al Horford,2011,6439877.0,77.0,25.0,0.557,4.0,0.26543438077634013,0.09833641404805915,0.4354898336414048
Al Horford,2012,13705194.0,11.0,26.0,0.553,1.0,0.22063037249283668,0.06876790830945559,0.38968481375358166
Al Horford,2013,13480873.0,74.0,27.0,0.543,6.0,0.27457381211461734,0.08705114254624592,0.46753717809212914
Al Horford,2014,13248441.0,29.0,28.0,0.567,11.0,0.25443169968717416,0.07924921793534932,0.5610010427528676
Al Horford,2015,12979462.0,76.0,29.0,0.538,36.0,0.23458387235877534,0.10521776627856835,0.4984907287623976
Al Horford,2016,12963417.0,82.0,30.0,0.505,256.0,0.22644376899696048,0.09992401215805471,0.4745440729483283
Al Horford,2017,28387747.0,68.0,31.0,0.473,242.0,0.21194165907019144,0.1536007292616226,0.43391066545123064
Al Horford,2018,29188407.0,72.0,32.0,0.489,226.0,0.233099209833187,0.1488147497805092,0.40693590869183494
Al Horford,2019,29595476.0,68.0,33.0,0.535,203.0,0.232016210739615,0.14336372847011145,0.4685916919959473
Al Horford,2020,28180805.0,61.0,34.0,0.45,283.0,0.2249629995066601,0.13320177602368033,0.39368524913665515
Al Horford,2021,27500000.0,28.0,35.0,0.45,152.0,0.24010217113665389,0.12005108556832694,0.508301404853129
Al Jefferson,2005,1912399.0,1.0,20.0,0.528,3.0,0.29686013320647003,0.022835394862036156,0.4519505233111323
Al Jefferson,2006,2005170.0,7.0,21.0,0.499,4.0,0.2812793979303857,0.028222013170272814,0.43650047036688616
Al Jefferson,2007,2056175.0,60.0,22.0,0.514,1.0,0.3258620689655172,0.03793103448275862,0.4771551724137931
Al Jefferson,2008,3069635.0,82.0,23.0,0.5,5.0,0.311986301369863,0.04006849315068493,0.5910958904109589
Al Jefferson,2009,12959655.0,50.0,24.0,0.497,4.0,0.2983124659771366,0.04300489929232444,0.6292868807838867
Al Jefferson,2010,14342440.0,76.0,25.0,0.498,4.0,0.28530844155844154,0.05560064935064935,0.5280032467532467
